MRT_Station,Name,Rating,Address,Lat,Lng
EUNOS MRT STATION,LiHO TEA @ Eunos MRT,3.8,"30 Eunos Cres, #01-05, Singapore",1.3197379,103.902867
EUNOS MRT STATION,Qiu Qiu Tea / 球球 Tea,4.9,"5 Eunos Cres, #01-2605, Singapore",1.3211176,103.9033427
EUNOS MRT STATION,Gong Cha Classic,4.5,"30 Eunos Cres, #01-10 Eunos MRT Station, Singapore",1.3196998,103.902894
EUNOS MRT STATION,Sg Bubble Tea,0.0,Singapore,1.3164979,103.9003723
EUNOS MRT STATION,Sweet.Tooth,0.0,"55 Changi Rd, #01-14, Singapore",1.3169742,103.8990086
KHATIB MRT STATION,Ulu Tea,3.3,"Yishun Street 81, #01-3657 Block 846, Singapore",1.4162948,103.8343899
KHATIB MRT STATION,iTEA,3.3,"846 Yishun Ring Rd, #01-3627 Khatib Central, Singapore",1.4167918,103.8345779
KHATIB MRT STATION,sweettalk,0.0,"Blk 846 Yishun Ring Rd, #01-3629, Singapore",1.4169862,103.8349203
REDHILL MRT STATION,LiHO TEA @ Redhill MRT,4.0,"920 Tiong Bahru Rd, #01-08, Singapore",1.2897139,103.8167487
REDHILL MRT STATION,CHAGEE 霸王茶姬 @ Artra,4.0,"12 Alexandra View, #01-09 Artra, Singapore",1.290032,103.8172725
YEW TEE MRT STATION,LiHO TEA @ Yew Tee Point,3.0,"21 Choa Chu Kang North 6 #B1-43, Yew Tee Point",1.3971183,103.7468323
YEW TEE MRT STATION,R&B Tea,3.6,"21 Choa Chu Kang North 6, #01-49 Yew Tee Point, Singapore",1.3968778,103.7468194
YEW TEE MRT STATION,KOI CAFE,3.4,"61 Choa Chu Kang Dr, #01-03, Singapore",1.3972972,103.7473277
YEW TEE MRT STATION,Bee-Live Beverage & Dessert,4.3,"21 Choa Chu Kang North 6, B1, TS2",1.3970036,103.7468379
PIONEER MRT STATION,Sweet Talk Bubble Tea,5.0,"Pioneer SMRT Station, 31 Jurong West Street 63",1.3375418,103.6968251
PIONEER MRT STATION,Tea Dough,4.3,"638 Jurong West Street 61, #01-04B Pioneer Mall, Singapore",1.3418264,103.6971934
PAYA LEBAR MRT STATION,Hollin Singapore SingPost Centre,4.3,"10 Eunos Rd 8, #01-133, Singapore",1.3189418,103.8944605
PAYA LEBAR MRT STATION,KOI Cafe,4.0,"30 Paya Lebar Rd, Singapore",1.3181257,103.8926273
PAYA LEBAR MRT STATION,Gong Cha,4.1,"10 Eunos Rd 8, #01-141A 141B, Singapore",1.318424,103.8936349
PAYA LEBAR MRT STATION,CHICHA San Chen PLQ,4.2,"10 Paya Lebar Rd, #02-27 PLQ Mall, Singapore",1.3173198,103.892442
PAYA LEBAR MRT STATION,Hopii Mungbean Smoothie 何必問 绿豆冰沙 （台湾-高雄）,3.8,"#01-107A ,10 Eunos Road 8 Singapore Post Centre",1.3191881,103.8934256
PAYA LEBAR MRT STATION,The Alley Paya Lebar,3.4,"30 Paya Lebar Road, #01-10 , Paya Lebar MRT Station",1.3181412,103.8931028
PAYA LEBAR MRT STATION,Milksha - Singpost Centre,3.6,"10 Eunos Rd 8, #B1-150, Singapore",1.3189506,103.8942252
PAYA LEBAR MRT STATION,iTEA,3.3,"60 Paya Lebar Rd, #01-50 Paya Lebar Square, Singapore",1.3184358,103.8927403
PAYA LEBAR MRT STATION,LiHO TEA @ KINEX,3.4,"11 Tanjong Katong Rd, #B1-K19, Singapore",1.3149868,103.8946433
